fea_seze,fea_gendi,fea_qiaosheng,fea_wenli,fea_qibu,fea_chugan,fea_midu,fea_hantangdu,label_haogua
qinglv,quansuo,zhuoxiang,qingxi,aoxian,yinghua,0.697,0.46,YES
wuhei,quansuo,chenmen,qingxi,aoxian,yinghua,0.774,0.376,YES
wuhei,quansuo,zhuoxiang,qingxi,aoxian,yinghua,0.634,0.264,YES
qinglv,quansuo,chenmen,qingxi,aoxian,yinghua,0.608,0.318,YES
qianbai,quansuo,zhuoxiang,qingxi,aoxian,yinghua,0.556,0.215,YES
qinglv,shaoquan,zhuoxiang,qingxi,shaoao,ruannian,0.403,0.237,YES
wuhei,shaoquan,zhuoxiang,shaohu,shaoao,ruannian,0.481,0.149,YES
wuhei,shaoquan,zhuoxiang,qingxi,shaoao,yinghua,0.437,0.211,YES
wuhei,shaoquan,chenmen,shaohu,shaoao,yinghua,0.666,0.091,NO
qinglv,yingting,qingcui,qingxi,pingtan,ruannian,0.243,0.267,NO
qianbai,yingting,qingcui,mohu,pingtan,yinghua,0.245,0.057,NO
qianbai,quansuo,zhuoxiang,mohu,pingtan,ruannian,0.343,0.099,NO
qinglv,shaoquan,zhuoxiang,shaohu,aoxian,yinghua,0.639,0.161,NO
qianbai,shaoquan,chenmen,shaohu,aoxian,yinghua,0.657,0.198,NO
wuhei,shaoquan,zhuoxiang,qingxi,shaoao,ruannian,0.36,0.37,NO
qianbai,quansuo,zhuoxiang,mohu,pingtan,yinghua,0.593,0.042,NO
qinglv,quansuo,chenmen,shaohu,shaoao,yinghua,0.719,0.103,NO
